# rubric.tsv — the sections of the fence warrant set, in document order.
# ⚑ THE KEYS ARE THE TEST MODULES, and the gate diffs this file's first column against every
# `section = {…}` in warrants.bib: a section named in one and not the other is a refusal. Adding
# a test module therefore means adding a row here, which is the point — a warrant filed under a
# heading nobody declared is a claim with no place in the argument.
# key <TAB> heading title
caps	Caps and Counters: Observe-Only as a Contract, and Which Cap Bound
cli	The Command Line: The Payload's Exit Code, and a Refusal Over a Guess
fence	The Fence Itself: A Real cgroup, a Real Payload, and a Skip That Says Why
admit	Admission: A Lease From One Shared Total, a Wait Over a Refusal, and a Claim by Its Declared Kind
ledger	The Run Ledger: Empty Is Not Zero, and One Observation Cannot Size a Cap
peaks	The Peaks Report: What Each Label Needs, and the Method That Says So
autosize	Autosizing: The Bucket of the Max, One Cap for Size and Climb, and a Climb Only on a Kill
label_lease	Label Leases: A Label Sized From Its Own History, Read by the One Parser, and a Hang Guard That Is Not the Work
membudget_cli	The membudget Console Script: Bash's Verbs and Exit Codes, and One Ledger Two Clients Honour
git_env	git_env: No GIT_* Survives a Runner, and the Hazard It Closes Is Measured Against a Decoy
