# rubric.tsv — the sections of the hooks warrant set, in document order.
# key <TAB> heading title
payload	Payload: Untrusted Input, and the Arming Switch
checkers	Checkers: That Config Reaches an In-Flight Edit
cmdparse	Command Parsing: Which Program Is Actually Being Run
adoption	Adoption: The Packaged Hook Against a Repo That Is Not This One
routing-table	The Routing Table: Read From the Edited Repo, and What Absent Means
structural-query	The Gate Itself: What It Refuses, What It Must Not, and Whether It Is Armed
bar-fires	The Bar Fires: Each Rule Asserted Against the Absence It Means
no_chaining	No Chaining: The Composition Refused, and the Exit Status a Pipe Discards
no_verify	No Verify: The Gate Bypass Refused Before It Runs, and Detected After
grade	Grading: Falsifiability Proven by Mutation, Not Presence Proven by Reading
exec-env	Execution Environment: What a Witness Can Actually Reach, Measured in Both Modes
venv-artifact	The Venv as a Build Artifact: Relocatable, Closed, and the Same in Every Distribution
reader-guard	The Reader Guard: Runnability Tested by Executing, Not Presence Tested by Stat
shellcheck	The Shell Hook: What the Linter Says, and What an Absent Linter Does
shellcheck-cli	The Shell Hook by Hand: One File, One Tree, One Command, and Could-Not-Look Is Never Clean
pycheck	The Python Edit Gate: The Post-Edit File Checked, a Tree Exclusion Honoured, and No Check Means No Pass
adopt-launcher	The Consumer Launcher: Another Repo Running This Venv, Failing Closed, With the Repair Reachable
githook-pre-push	The Shared Pre-Push: An Operation in Flight Refused, and a Repo's Own Hook Given the Same Stdin
