# rubric.tsv — the sections of the pycodemod warrant set, one per test module, in document order.
# key <TAB> heading title
core	The Core: `--` Ends the Flags, an Unread File Reported Beside What Was Found, and UNKNOWN Never a Guess
commentary	The Commentary: A Mark Bounded Only Where It Is a Word, a Paragraph as One Incident, and a Gate With One Matcher on Both Sides
exit	The Exit Censuses: SystemExit Is Not an Exception, the Guard Is Its Body Alone, and Every Skip Returned Rather Than Accumulated
ambient	The Ambient Census: A Property Not a Name, getcwd Actually in the Vocabulary, and Subtrees Read From the Tree Alone
sites	The Sites Walk: A Result That Carries Its Query, Facts Keyed by Span, and No Call Doubling as a Reference
arguments	The Argument Readings: Every Side of Every Split, a Splat That Cannot Tell, and No Scan Read Beyond Its Query
dead	The Dead Census: Every Exemption Named, a Dispatch Is a String in Code, and No Verdict Over a Narrowed Scan
imports	The Module Consumers: A Dotted Module Found, the Name an Import Truly Binds, and No Unread File Read as Empty
swallows	The Swallow Census: A Census of Silence That Is Not Silent, the Whole Exception Spec, and a Read After in the Same Scope
graph	The Call Graph: A Caller Is Its File and Scope, a Reach That Says When It Stopped, and Verdicts That Do Not Overwrite
ordering	The Order Censuses: Producers Passed Not Recalled, a Counter That Is Not a Collection, and Each Re-sort Located
strings	The String Readers: A Write Is Not a Read, f-String Text Is a Literal, and a Prefilter That Cannot Reject a Real Hit
definitions	The Definition Readers: A Failure Is Never a Binding, Each Name Live Over Its Own Scope, and a Source With Its Decorators
funcnames	The func Census: Asked of SQLAlchemy Not Listed, Case-Insensitive as Core Is, and Refusing When It Cannot Ask
rivals	The Rival Censuses: A Wrapper Delegates, an Awaited Call Too, Collisions in One Pass, and an Unread File Reported
placement	The Placement Census: When a Guard Fires Not Where It Is Written, the Entry Block Read From the Scan, and One Hop by Scope
size	The Size Census: Code Against a Per-File Cap, a Docstring Never Counted, and Every Unread File Reported
aliases	The Alias Census: Every Import Graded by Form, a Class Body Its Own Scope, and Locality Read From the Neighbourhood
hints	The Alias Hint: Where a Call Census Is Blind, a Renamed Name Found at Its Calls, and Never a Proof
shapes	The Shape Scan: A Line Regex Located in Code Only, No Anchor False Zero, and No Mojibake Match
deps	The Import Census: Every Import Graded Against a Manifest That Must Be Read, Case-Insensitive, Stdlib Exact
crossings	The Crossing Census: A Function Is Its Own Body, an Annotated Local Is Built, and Recursion Through self Unfolds
modstate	The Module State Census: A Name Resolved in Its Scope, Annotated State Seen, and a Delete a Mutation
